Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url,languages_missing,Created,Last updated,Stars per contributor,Commits per contributor,Total changes,Community openness,Num languages,Has backend,Has frontend,Has infra,Has data,Stack breadth,Hype score
getumbrel llama-gpt,"A self-hosted, offline, ChatGPT-like chatbot. Powered by Llama 2. 100% private, with no data leaving your device. New: Code Llama support!","['TypeScript', 'Shell', 'Dockerfile', 'Other']",711,10988,353,14,12,0,https://github.com/getumbrel/llama-gpt,False,2022-06-20,2023-10-26,845.2,27.2,367,0.03804347826086957,4,False,True,True,False,2,1
MODSetter SurfSense,"Open source alternative to NotebookLM, Perplexity, and Glean. Connects to search engines, Slack, Linear, Jira, ClickUp, Notion, YouTube, GitHub, Discord, and more. Join our Discord: https://discord.gg/ejRNvftDp9","['Python', 'TypeScript', 'MDX', 'CSS', 'Dockerfile', 'JavaScript']",890,10921,1279,3,38,2,https://github.com/MODSetter/SurfSense,False,2022-02-04,2024-02-24,280.0,32.8,1282,0.002338269680436477,6,True,True,True,False,3,0
microsoft promptflow,"Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.","['Python', 'HTML', 'Jinja', 'Jupyter Notebook', 'Shell', 'PowerShell', 'Other']",1043,10905,2277,4,112,42,https://github.com/microsoft/promptflow,False,2021-02-10,2021-11-27,96.5,20.2,2281,0.0017528483786152498,7,True,True,True,False,3,0
kornia kornia,🐍 Geometric Computer Vision Library for Spatial AI,"['Python', 'Other']",1076,10898,2990,42,319,43,https://github.com/kornia/kornia,False,2023-01-28,2023-05-13,34.1,9.3,3032,0.013847675568743818,2,True,False,False,False,1,0
google dopamine,Dopamine is a research framework for fast prototyping of reinforcement learning algorithms.,"['Jupyter Notebook', 'Python', 'Other']",1391,10824,348,23,7,2,https://github.com/google/dopamine,False,2022-03-01,2023-12-30,1353.0,43.5,371,0.06182795698924731,3,True,False,False,False,1,0
codota TabNine,AI Code Completions,['Shell'],531,10809,349,3,19,0,https://github.com/codota/TabNine,False,2024-10-25,2024-10-26,540.4,17.4,352,0.0084985835694051,1,False,False,True,False,1,0
web-infra-dev midscene,"Your AI Operator for Web, Android, Automation & Testing.","['TypeScript', 'MDX', 'Less', 'HTML', 'JavaScript', 'CSS']",750,10782,1007,7,50,102,https://github.com/web-infra-dev/midscene,False,2019-07-18,2021-02-25,211.4,19.7,1014,0.006896551724137931,6,False,True,False,False,1,0
Baiyuetribe paper2gui,Convert AI papers to GUI，Make it easy and convenient for everyone to use artificial intelligence technology。让每个人都简单方便的使用前沿人工智能技术,['Jupyter Notebook'],885,10703,86,0,3,8,https://github.com/Baiyuetribe/paper2gui,False,2021-07-15,2023-04-19,2675.8,21.5,86,0.0,1,False,False,False,False,0,0
fastai numerical-linear-algebra,Free online textbook of Jupyter notebooks for fast.ai Computational Linear Algebra course,['Jupyter Notebook'],2668,10654,55,10,5,0,https://github.com/fastai/numerical-linear-algebra,False,2022-06-25,2022-09-22,1775.7,9.2,65,0.15151515151515152,1,False,False,False,False,0,0
facebookresearch ParlAI,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,"['Python', 'HTML', 'JavaScript', 'CSS', 'Shell', 'Cuda']",2090,10627,4358,1,197,23,https://github.com/facebookresearch/ParlAI,False,2019-11-30,2020-11-13,53.7,22.0,4359,0.00022935779816513763,6,True,True,True,False,3,0
tensorzero tensorzero,"TensorZero is an open-source stack for industrial-grade LLM applications. It unifies an LLM gateway, observability, optimization, evaluation, and experimentation.","['Rust', 'TypeScript', 'Python', 'Jupyter Notebook', 'Shell', 'Go', 'Other']",737,10624,2623,37,112,94,https://github.com/tensorzero/tensorzero,False,2023-12-01,2024-12-31,94.0,23.2,2660,0.013904547162720781,7,True,True,True,False,3,0
Nutlope roomGPT,Upload a photo of your room to generate your dream room with AI.,"['TypeScript', 'CSS', 'JavaScript']",1486,10604,144,8,4,0,https://github.com/Nutlope/roomGPT,False,2018-01-02,2020-06-28,2120.8,28.8,152,0.05228758169934641,3,False,True,False,False,1,0
dataelement bisheng,"BISHENG is an open LLM devops platform for next generation Enterprise AI applications. Powerful and comprehensive features include: GenAI workflow, RAG, Agent, Unified model management, Evaluation, SFT, Dataset Management, Enterprise-level System Management, Observability and more.","['TypeScript', 'Python', 'JavaScript', 'CSS', 'Shell', 'Dockerfile']",1705,10492,5367,3,41,65,https://github.com/dataelement/bisheng,False,2019-10-04,2020-03-10,249.8,127.8,5370,0.0005585552038726494,6,True,True,True,False,3,1
Olow304 memvid,Video-based AI memory library. Store millions of text chunks in MP4 files with lightning-fast semantic search. No database needed.,"['Python', 'Makefile', 'Shell', 'Dockerfile']",891,10462,36,12,4,2,https://github.com/Olow304/memvid,False,2024-03-17,2024-12-31,2092.4,7.2,48,0.24489795918367346,4,True,False,True,False,2,0
go-vgo robotgo,"RobotGo, Go Native cross-platform RPA, GUI automation, Auto test and Computer use @vcaesar","['Go', 'C', 'Objective-C', 'Other']",938,10462,1599,2,28,70,https://github.com/go-vgo/robotgo,False,2022-05-09,2023-03-16,360.8,55.1,1601,0.0012484394506866417,4,True,False,False,False,1,0
lightpanda-io browser,Lightpanda: the headless browser designed for AI and automation,"['Zig', 'HTML', 'Makefile', 'JavaScript', 'Dockerfile', 'Nix']",293,10435,3255,9,18,1,https://github.com/lightpanda-io/browser,False,2020-05-04,2021-07-22,549.2,171.3,3264,0.0027565084226646246,6,False,True,True,False,2,0
simonw llm,Access large language models from the command-line,"['Python', 'Other']",697,10412,967,129,52,55,https://github.com/simonw/llm,False,2022-10-26,2023-08-19,196.5,18.2,1096,0.11759343664539654,2,True,False,False,False,1,0
Yorko mlcourse.ai,Open Machine Learning Course,"['Python', 'HTML']",5718,10349,94,0,197,1,https://github.com/Yorko/mlcourse.ai,False,2024-08-29,2024-12-31,52.3,0.5,94,0.0,2,True,True,False,False,2,0
ruvnet claude-flow,"🌊 The leading agent orchestration platform for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features enterprise-grade architecture, distributed swarm intelligence, RAG integration, and native Claude Code support via MCP protocol. Ranked #1 in agent-based frameworks.","['JavaScript', 'TypeScript', 'Python', 'Shell', 'Dockerfile', 'PowerShell']",1359,10293,3110,35,11,1455,https://github.com/ruvnet/claude-flow,False,2022-07-20,2022-08-24,857.8,259.2,3145,0.01112523839796567,6,True,True,True,False,3,2
sfyc23 EverydayWechat,微信助手：1.每日定时给好友（女友）发送定制消息。2.机器人自动回复好友。3.群助手功能（例如：查询垃圾分类、天气、日历、电影实时票房、快递物流、PM2.5等）,"['Python', 'Dockerfile']",2311,10256,214,3,13,0,https://github.com/sfyc23/EverydayWechat,False,2021-02-27,2022-09-08,732.6,15.3,217,0.013761467889908258,2,True,False,True,False,2,0
Mail-0 Zero,Experience email the way you want with Mail0 – the first open source email app that puts your privacy and safety first. Join the discord: https://mail0.link/discord,"['TypeScript', 'Other']",1224,10184,3785,13,143,0,https://github.com/Mail-0/Zero,False,2020-12-12,2023-05-21,70.7,26.3,3798,0.003421953145564622,2,False,True,False,False,1,0
easydiffusion easydiffusion,"An easy 1-click way to create beautiful artwork on your PC using AI, with no tech knowledge. Provides a browser UI for generating images from text prompts and images. Just enter your text prompt, and see the generated image.","['JavaScript', 'Python', 'CSS', 'HTML', 'Batchfile', 'NSIS', 'Other']",846,10149,3543,7,43,19,https://github.com/easydiffusion/easydiffusion,False,2022-09-04,2023-01-22,230.7,80.5,3550,0.0019712756969867645,7,True,True,False,False,2,0
codexu note-gen,A cross-platform Markdown AI note-taking software.,"['TypeScript', 'Rust', 'CSS', 'Other']",710,10095,1113,7,27,114,https://github.com/codexu/note-gen,False,2022-08-23,2024-12-31,360.5,39.8,1120,0.006244424620874219,4,True,True,False,False,2,0
e2b-dev E2B,"Open-source, secure environment with real-world tools for enterprise-grade agents.","['MDX', 'TypeScript', 'Python', 'JavaScript', 'Go', 'Dockerfile', 'Other']",713,10040,4632,16,42,404,https://github.com/e2b-dev/E2B,False,2022-09-30,2024-09-24,233.5,107.7,4648,0.0034416003441600346,7,True,True,True,False,3,1
Portkey-AI gateway,"A blazing fast AI Gateway with integrated guardrails. Route to 200+ LLMs, 50+ AI Guardrails with 1 fast & friendly API.","['TypeScript', 'HTML', 'Other']",806,10031,3317,30,94,78,https://github.com/Portkey-AI/gateway,False,2021-12-10,2024-10-24,105.6,34.9,3347,0.008960573476702509,3,False,True,False,False,1,0
faisalman ua-parser-js,"UAParser.js - The Essential Web Development Tool for User-Agent Detection. Detect Browsers, OS, Devices, Bots, Apps, AI Crawlers, and more. Run in Browser (client-side) or Node.js (server-side).","['JavaScript', 'Other']",1218,9964,1334,3,140,0,https://github.com/faisalman/ua-parser-js,False,2024-04-13,2024-12-31,70.7,9.5,1337,0.002242152466367713,2,False,True,False,False,1,0
google magika,Fast and accurate AI powered file content types detection,"['Python', 'Rust', 'TypeScript', 'Rich Text Format', 'Svelte', 'Go', 'Other']",474,9897,1647,18,39,12,https://github.com/google/magika,False,2020-04-15,2020-04-24,247.4,41.2,1665,0.010804321728691477,7,True,True,False,False,2,0
bytebot-ai bytebot,"Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language commands, operating within a containerized Linux desktop environment.","['TypeScript', 'Dockerfile', 'CSS', 'Smarty', 'PLpgSQL', 'Scheme', 'JavaScript']",1252,9850,499,10,11,0,https://github.com/bytebot-ai/bytebot,False,2018-07-22,2021-03-31,820.8,41.6,509,0.0196078431372549,7,False,True,True,True,3,1
HKUDS AI-Trader,"""AI-Trader: Can AI Beat the Market?"" Live Trading Bench: https://ai4trade.ai","['Python', 'Shell']",1543,9762,237,9,8,0,https://github.com/HKUDS/AI-Trader,False,2018-05-03,2019-05-15,1084.7,26.3,246,0.03643724696356275,2,True,False,True,False,2,0
microsoft RD-Agent,"Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automating these high-value generic R&D processes through R&D-Agent, which lets AI drive data-driven AI. 🔗https://aka.ms/RD-Agent-Tech-Report","['Python', 'Jupyter Notebook', 'Other']",1045,9661,987,65,37,11,https://github.com/microsoft/RD-Agent,False,2019-02-05,2020-12-17,254.2,26.0,1052,0.06172839506172839,3,True,False,False,False,1,0
MoonshotAI Kimi-K2,Kimi K2 is the large language model series developed by Moonshot AI team,[],688,9637,24,1,10,0,https://github.com/MoonshotAI/Kimi-K2,True,2020-02-06,2021-09-11,876.1,2.2,25,0.038461538461538464,0,False,False,False,False,0,0
topoteretes cognee,Memory for AI Agents in 6 lines of code,"['Python', 'TypeScript', 'Shell', 'Dockerfile', 'CSS', 'Mako']",880,9620,4194,34,81,70,https://github.com/topoteretes/cognee,False,2018-10-21,2019-03-21,117.3,51.1,4228,0.008039725703475999,6,True,True,True,False,3,0
yokoffing Betterfox,"Firefox user.js for speed, privacy, and security. Turn off AI. Your favorite browser, but better.","['JavaScript', 'Python']",242,9600,682,2,16,26,https://github.com/yokoffing/Betterfox,False,2024-05-16,2024-12-31,564.7,40.1,684,0.00291970802919708,2,True,True,False,False,2,0
qodo-ai pr-agent,"🚀 PR-Agent: An AI-Powered 🤖 Tool for Automated Pull Request Analysis, Feedback, Suggestions and More! 💻🔍","['Python', 'Other']",1184,9558,4805,16,185,18,https://github.com/qodo-ai/pr-agent,False,2018-07-17,2021-06-23,51.4,25.8,4821,0.0033181252592285357,2,True,False,False,False,1,0
opencode-ai opencode,A powerful AI coding agent. Built for the terminal.,"['Go', 'Shell']",811,9516,185,47,27,50,https://github.com/opencode-ai/opencode,False,2023-04-15,2024-12-31,339.9,6.6,232,0.2017167381974249,2,True,False,True,False,2,1
elie222 inbox-zero,The world's best AI personal assistant for email. Open source app to help you reach inbox zero fast.,"['TypeScript', 'MDX', 'JavaScript', 'CSS', 'Shell', 'PLpgSQL']",1110,9506,7864,16,41,0,https://github.com/elie222/inbox-zero,False,2024-01-01,2024-02-19,226.3,187.2,7880,0.0020301992132978047,6,False,True,True,True,3,0
olistic warriorjs,🏰 An exciting game of programming and Artificial Intelligence,"['JavaScript', 'CSS', 'HTML']",500,9504,338,5,14,0,https://github.com/olistic/warriorjs,False,2019-09-01,2021-06-25,633.6,22.5,343,0.014534883720930232,3,False,True,False,False,1,0
drivendataorg cookiecutter-data-science,"A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.","['Python', 'Makefile', 'Shell']",2617,9498,185,6,61,6,https://github.com/drivendataorg/cookiecutter-data-science,False,2021-02-21,2022-08-05,153.2,3.0,191,0.03125,3,True,False,True,False,2,0
deepseek-ai 3FS,A high-performance distributed file system designed to address the challenges of AI training and inference workloads.,"['C++', 'Rust', 'OpenEdge ABL', 'Python', 'C', 'CMake', 'Other']",970,9493,88,24,38,0,https://github.com/deepseek-ai/3FS,False,2018-07-06,2021-06-23,243.4,2.3,112,0.21238938053097345,7,True,False,False,False,1,0
jina-ai reader,Convert any URL to an LLM-friendly input with a simple prefix https://r.jina.ai/,"['TypeScript', 'JavaScript', 'Dockerfile']",739,9452,528,2,9,0,https://github.com/jina-ai/reader,False,2024-11-16,2024-12-31,945.2,52.8,530,0.003766478342749529,3,False,True,True,False,2,0
hangwin mcp-chrome,"Chrome MCP Server is a Chrome extension-based Model Context Protocol (MCP) server that exposes your Chrome browser functionality to AI assistants like Claude, enabling complex browser automation, content analysis, and semantic search.","['TypeScript', 'JavaScript', 'Vue', 'Rust', 'Shell', 'CSS', 'Other']",829,9433,119,10,16,6,https://github.com/hangwin/mcp-chrome,False,2022-11-30,2023-04-24,554.9,7.0,129,0.07692307692307693,7,True,True,True,False,3,0
Acly krita-ai-diffusion,"Streamlined interface for generating images with AI in Krita. Inpaint and outpaint with optional text prompt, no tweaking required.","['Python', 'Other']",519,9414,1463,7,40,67,https://github.com/Acly/krita-ai-diffusion,False,2019-10-22,2022-04-23,229.6,35.7,1470,0.004758667573079538,2,True,False,False,False,1,0
TianxingChen Embodied-AI-Guide,[Lumina Embodied AI] 具身智能技术指南 Embodied-AI-Guide,[],635,9413,497,2,49,0,https://github.com/TianxingChen/Embodied-AI-Guide,True,2023-05-10,2024-12-31,188.3,9.9,499,0.004,0,False,False,False,False,0,0
MorvanZhou Reinforcement-learning-with-tensorflow,"Simple Reinforcement learning tutorials, 莫烦Python 中文AI教学",['Python'],5021,9381,114,1,7,0,https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow,False,2024-09-16,2024-12-31,1172.6,14.2,115,0.008620689655172414,1,True,False,False,False,1,0
microsoft agent-lightning,The absolute trainer to light up AI agents.,"['Python', 'TypeScript', 'JavaScript', 'CSS', 'Shell', 'HTML']",747,9288,199,26,19,6,https://github.com/microsoft/agent-lightning,False,2021-10-01,2023-05-04,464.4,10.0,225,0.11504424778761062,6,True,True,True,False,3,1
HugoBlox hugo-blox-builder,⚡ HugoBlox: Markdown sites in minutes. Academic/resume/lab/portfolio for AI researchers & startups. Premium templates. Deploy to GitHub Pages now in 1-click 👇,"['HTML', 'CSS', 'JavaScript', 'Python', 'Jupyter Notebook', 'Shell', 'TeX']",2961,9208,2052,1,195,53,https://github.com/HugoBlox/hugo-blox-builder,False,2023-06-10,2024-12-31,47.0,10.5,2053,0.0004868549172346641,7,True,True,True,False,3,0
PeterL1n RobustVideoMatting,"Robust Video Matting in PyTorch, TensorFlow, TensorFlow.js, ONNX, CoreML!",['Python'],1189,9171,34,7,5,1,https://github.com/PeterL1n/RobustVideoMatting,False,2022-03-15,2023-07-10,1528.5,5.7,41,0.16666666666666666,1,True,False,False,False,1,0
replicate cog,Containers for machine learning,"['Go', 'HTML', 'Python', 'Shell']",641,9124,1891,69,81,208,https://github.com/replicate/cog,False,2018-05-27,2020-03-29,111.3,23.1,1960,0.03518612952575217,4,True,True,True,False,3,0
dice2o BingGPT,"Desktop application of new Bing's AI-powered chat (Windows, macOS and Linux)",['JavaScript'],685,9088,46,6,2,19,https://github.com/dice2o/BingGPT,False,2022-10-01,2024-06-22,3029.3,15.3,52,0.11320754716981132,1,False,True,False,False,1,0
wangrongding wechat-bot,🤖一个基于 WeChaty 结合 DeepSeek / ChatGPT / Kimi / 讯飞等Ai服务实现的微信机器人 ，可以用来帮助你自动回复微信消息，或者管理微信群/好友，检测僵尸粉等...,"['JavaScript', 'Dockerfile']",1075,9057,216,4,23,2,https://github.com/wangrongding/wechat-bot,False,2023-01-18,2024-11-08,377.4,9.0,220,0.01809954751131222,2,False,True,True,False,2,0
Stability-AI StableStudio,Community interface for generative AI,"['TypeScript', 'Other']",929,9036,52,15,6,0,https://github.com/Stability-AI/StableStudio,False,2019-05-04,2021-02-23,1290.9,7.4,67,0.22058823529411764,2,False,True,False,False,1,0
mrousavy react-native-vision-camera,"📸 A powerful, high-performance React Native Camera library.","['Swift', 'TypeScript', 'Kotlin', 'C++', 'Objective-C++', 'Java', 'Other']",1303,9033,1784,107,118,196,https://github.com/mrousavy/react-native-vision-camera,False,2023-05-14,2024-12-31,75.9,15.0,1891,0.056553911205074,7,True,True,False,False,2,0
AirtestProject Airtest,UI Automation Framework for Games and Apps,"['Python', 'HTML', 'JavaScript', 'CSS']",1384,9016,1010,15,44,24,https://github.com/AirtestProject/Airtest,False,2022-07-22,2023-09-13,200.4,22.4,1025,0.014619883040935672,4,True,True,False,False,2,0
krillinai KrillinAI,Video translation and dubbing tool powered by LLMs. The video translator offers 100 language translations and one-click full-process deployment. The video translation output is optimized for platforms like YouTube，TikTok. AI视频翻译配音工具，100种语言双向翻译，一键部署全流程，可以生抖音，小红书，哔哩哔哩，视频号，TikTok，Youtube等形态的内容成适配,"['Go', 'HTML', 'Dockerfile']",750,9009,451,0,10,23,https://github.com/krillinai/KrillinAI,False,2024-07-13,2024-12-31,819.0,41.0,451,0.0,3,True,True,True,False,3,0
a16z-infra ai-town,"A MIT-licensed, deployable starter kit for building and customizing your own version of AI town - a virtual town where AI characters live, chat and socialize.","['TypeScript', 'JavaScript', 'HTML', 'Other']",927,9008,1140,1,34,0,https://github.com/a16z-infra/ai-town,False,2019-10-03,2021-07-13,257.4,32.6,1141,0.0008756567425569177,4,False,True,False,False,1,0
MemoriLabs Memori,"Open-Source Memory Engine for LLMs, AI Agents & Multi-Agent Systems","['Python', 'Other']",642,8986,310,21,21,10,https://github.com/MemoriLabs/Memori,False,2022-12-08,2024-12-31,408.5,14.1,331,0.06325301204819277,2,True,False,False,False,1,0
kyrolabs awesome-langchain,😎 Awesome list of tools and projects with the awesome LangChain framework,[],643,8985,355,2,57,0,https://github.com/kyrolabs/awesome-langchain,True,2024-11-25,2024-12-31,154.9,6.1,357,0.00558659217877095,0,False,False,False,False,0,0
zyddnys manga-image-translator,Translate manga/image 一键翻译各类图片内文字 https://cotrans.touhou.ai/ (no longer working),"['Python', 'HTML', 'Cuda', 'TypeScript', 'C++', 'Jupyter Notebook', 'Other']",877,8966,1988,5,86,5,https://github.com/zyddnys/manga-image-translator,False,2023-05-24,2024-10-13,103.1,22.9,1993,0.0025075225677031092,7,True,True,False,False,2,0
yihong0618 bilingual_book_maker,Make bilingual epub books Using AI translate,"['Python', 'Other']",1210,8949,241,8,69,5,https://github.com/yihong0618/bilingual_book_maker,False,2024-01-08,2024-12-31,127.8,3.4,249,0.032,2,True,False,False,False,1,0
activeloopai deeplake,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",['Python'],694,8916,9227,10,93,255,https://github.com/activeloopai/deeplake,False,2021-12-09,2024-06-16,94.9,98.2,9237,0.001082485386447283,1,True,False,False,False,1,0
friuns2 BlackFriday-GPTs-Prompts,List of free GPTs that doesn't require plus subscription,[],1321,8873,59,8,2,0,https://github.com/friuns2/BlackFriday-GPTs-Prompts,True,2022-06-23,2024-07-31,2957.7,19.7,67,0.11764705882352941,0,False,False,False,False,0,0
OlafenwaMoses ImageAI,A python library built to empower developers to build applications and systems with self-contained Computer Vision capabilities,"['Python', 'Cython']",2204,8848,385,24,16,12,https://github.com/OlafenwaMoses/ImageAI,False,2018-09-20,2019-06-09,520.5,22.6,409,0.05853658536585366,2,True,False,False,False,1,0
